Site Name,Site Location,Site Type,Site discription
BIRMINGHAM CIVIL RIGHTS,AL,National Monument,"In 1963, images of snarling police dogs unleashed against non-violent protesters and of children being sprayed with high-pressure hoses appeared in print and television news across the world. These dramatic scenes from Birmingham, Alabama, of violent police aggression against civil rights protesters were vivid examples of segregation and racial injustice in America."
FREEDOM RIDERS,AL,National Monument,"In 1961, a small interracial band of “Freedom Riders” challenged discriminatory laws requiring separation of the races in interstate travel. They were attacked by white segregationists, who firebombed the bus. Images of the attack appeared in hundreds of newspapers, shocking the American public and spurring the Federal Government to issue regulations banning segregation in interstate travel."
HORSESHOE BEND,"Daviston, AL",National Military Park,"On 27 March 1814, Major General Andrew Jackson ‘s army of 3,300 men attacked Chief Menawa’s 1,000 Red Stick Creek warriors fortified in a horseshoe shaped bend of the Tallapoosa River.  Over 800 Red Sticks died that day.  The battle ended the Creek War, resulted in a land cession of 23,000,000 acres to the United States and created a national hero of Andrew Jackson."
LITTLE RIVER CANYON,"Fort Payne, AL",National Preserve,"Little River is unique because it flows for most of its length atop Lookout Mountain in northeast Alabama. Forested uplands, waterfalls, canyon rims and bluffs, pools, boulders, and sandstone cliffs offer settings for a variety of recreational activities. Natural resources and cultural heritage come together to tell the story of the Preserve, a special place in the Southern Appalachians."
MUSCLE SHOALS,,National Heritage Area,"The Tennessee River brought the early Native Americans and then the European settlers. For years, it frustrated those who tried to cross it or tame it. Men fought from its banks and others found power from its waters. It created a culture. It shaped a region. The region’s sites, buildings, and relics whisper tales of some of the nation’s biggest moments and how the river played a role in each."
NATCHEZ TRACE,"the states of AL,MS,TN",Parkway,"The Natchez Trace Parkway is a 444-mile recreational road and scenic drive through three states. It roughly follows the ""Old Natchez Trace"" a historic travel corridor used by American Indians, ""Kaintucks,"" European settlers, slave traders, soldiers, and future presidents. Today, people can enjoy not only a scenic drive but also hiking, biking, horseback riding, and camping along the parkway."
NATCHEZ TRACE,"Tupelo, AL,MS,TN",National Scenic Trail,The 450-mile foot trail that became known as the Natchez Trace was the lifeline through the Old Southwest.  You can experience portions of that journey the way earlier travelers did - on foot.  Today there are five separate trails totaling over 60 miles and they are administered by the Natchez Trace Parkway.
RUSSELL CAVE,"Bridgeport, AL",National Monument,"Russell Cave is an archaeological site with one of the most complete records of prehistoric cultures in the Southeast. Thousands of years ago a portion of Russell Cave's entrance collapsed, creating a shelter that, for more than 10,000 years, was home to prehistoric peoples. Today it provides clues to the daily lifeways of early North American inhabitants dating from 10,000 B.C. to 1650 A.D."
SELMA TO MONTGOMERY,"Montgomery, Lowndes & Dallas Counties, AL",National Historic Trail,"On August 6, 1965, President Lyndon Johnson signed, the Voting Rights Act of 1965, which extended equal voting rights for African-Americans. As both White and Black non-violent supporters led by Dr. Martin Luther King Jr. fought for the right to vote in Central Alabama, today, you can trace their march toward freedom on the 54-mile trail and connect with their stories at the Interpretive Centers."
TRAIL OF TEARS,"AL,AR,GA,IL,KY,MO,NC,OK,TN",National Historic Trail,"Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839."
TUSKEGEE AIRMEN,"Tuskegee, AL",National Historic Site,"Before the first African American military pilots became known as the ""Red Tails"" they wore striped tails as they began their flight training in the Army's PT-17 Stearman bi-plane.  Their flying adventure started at Moton Field, in Tuskegee, Alabama, where the Army Air Corps began a military ""experiment"" to see if Negroes could be trained to fly combat aircraft.  Come--share their adventure!!"
TUSKEGEE INSTITUTE,"Tuskegee Institute, AL",National Historic Site,"In 1881, Booker T. Washington arrived in Alabama and started building Tuskegee Institute both in reputation and literally brick by brick.  He recruited the best and the brightest to come and teach here including George Washington Carver who arrived in 1896.  Carver’s innovations in agriculture, especially with peanuts, expanded Tuskegee’s standing throughout the country.  The story continues…."
ALAGNAK,"King Salmon, AK",Wild River,"The headwaters of Alagnak Wild River lie within the rugged Aleutian Range of neighboring Katmai National Park and Preserve. Meandering west towards Bristol Bay and the Bering Sea, the Alagnak traverses the beautiful Alaska Peninsula, providing an unparalleled opportunity to experience the unique wilderness, wildlife, and cultural heritage of southwest Alaska."
ALASKA PUBLIC LANDS,"Anchorage, AK",,"Alaska’s parks, forests and refuges are rich and varied. The Anchorage Interagency Visitor Center helps visitors and residents to have meaningful, safe, enjoyable experiences on public lands, and encourages them to sustain the natural and cultural resources of Alaska. This center and three others statewide provide trip-planning, interpretation, and education for all ages."
ALEUTIAN ISLANDS WORLD WAR II,"Unalaska/Dutch Harbor, AK",National Monument,"During World War II the remote Aleutian Islands, home to the Unangax^ (Aleut) people for over 8,000 years, became a fiercely contested battleground in the Pacific. This thousand-mile-long archipelago saw invasion by Japanese forces, the occupation of two islands; a mass relocation of Unangax^ civilians; a 15-month air war; and one of the deadliest battles in the Pacific Theater."
ANIAKCHAK,"King Salmon, AK",National Monument & Preserve,"Given its remote location and challenging weather conditions, Aniakchak is one of the most wild and least visited places in the National Park System. This landscape is a vibrant reminder of Alaska's location in the volcanically active ""Ring of Fire,"" as it is home to an impressive six mile (10 km) wide, 2,500 ft (762 m) deep caldera formed during a massive volcanic eruption 3,500 years ago."
BERING LAND BRIDGE,"Nome, AK",National Preserve,Bering Land Bridge National Preserve lies at the continental crossroads that greatly influenced the distribution of life in the Western Hemisphere during the Pleistocene Epoch. It is a vital landscape for indigenous communities who depend on the land just as their ancestors did for many generations. It is a wild and ecologically healthy landscape unlike any other.
CAPE KRUSENSTERN,"Kotzebue, AK",National Monument,"North of the Arctic Circle, the monument forms 70 miles of shoreline on the Chukchi Sea.  More than 114 beach ridges provide evidence of human use for 5,000 years.  The Inupiat continue to use the area today.  Vast wetlands provide habitat for shorebirds from as far away as South America.  Hikers and boaters can see carpets of wildflowers among shrubs containing wisps of qiviut from muskoxen."
DENALI,"Denali Park, AK",National Park & Preserve,"Denali is six million acres of wild land, bisected by one ribbon of road. Travelers along it see the relatively low-elevation taiga forest give way to high alpine tundra and snowy mountains, culminating in North America's tallest peak, 20,310' Denali. Wild animals large and small roam un-fenced lands, living as they have for ages. Solitude, tranquility and wilderness await."
GATES OF THE ARCTIC,"Bettles, AK",National Park & Preserve,"This vast landscape does not contain any roads or trails. Visitors discover intact ecosystems where people have lived with the land for thousands of years. Wild rivers meander through glacier-carved valleys, caribou migrate along age-old trails, endless summer light fades into aurora-lit night skies of winter. It remains virtually unchanged except by the forces of nature."
GLACIER BAY,"Gustavus, AK",National Park & Preserve,"Covering 3.3 million acres of rugged mountains, dynamic glaciers, temperate rainforest, wild coastlines and deep sheltered fjords, Glacier Bay National Park is a highlight of Alaska's Inside Passage and part of a 25-million acre World Heritage Site—one of the world’s largest international protected areas. From sea to summit, Glacier Bay offers limitless opportunities for adventure and inspiration."
